,District,EVs,PVI
1,Alabama,9,-15.33
2,Alaska,3,-8.51
3,Arizona,11,-2.56
4,Arkansas,6,-15.94
5,California,54,13.83
6,Colorado,10,3.12
7,Connecticut,7,6.97
8,Delaware,3,6.12
9,Florida,30,-2.85
10,Georgia,16,-2.96
11,Hawaii,4,14.55
12,Idaho,4,-18.78
13,Illinois,19,7.15
14,Indiana,11,-10.78
15,Iowa,6,-6.31
16,Kansas,6,-10.99
17,Kentucky,8,-16.12
18,Louisiana,8,-11.51
19,Maine,2,1.45
20,Maryland,10,13.84
21,Massachusetts,11,14.20
22,Michigan,15,-1.04
23,Minnesota,10,0.55
24,Mississippi,6,-10.42
25,Missouri,10,-10.51
26,Montana,4,-11.44
27,Nebraska,4,-13.35
28,Nevada,6,-0.43
29,New Hampshire,4,0.28
30,New Jersey,14,5.99
31,New Mexico,5,3.4
32,New York,28,10.06
33,North Carolina,16,-2.98
34,North Dakota,3,-20.2
35,Ohio,17,-5.86
36,Oklahoma,7,-19.81
37,Oregon,8,5.54
38,Pennsylvania,19,-1.58
39,Rhode Island,4,7.77
40,South Carolina,9,-8.38
41,South Dakota,3,-16.39
42,Tennessee,11,-14.41
43,Texas,40,-5.46
44,Utah,6,-13.22
45,Vermont,3,15.06
46,Virginia,13,2.3
47,Washington,12,7.67
48,West Virginia,4,-22.67
49,Wisconsin,10,-1.73
50,Wyoming,3,-25.78
51,District of Columbia,3,43.39
52,Maine CD-2,1,-6.39
53,Maine CD-1,1,8.23
54,Nebraska CD-2,1,-0.63